experiment_accession	run_accession	read_count	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	submitted_ftp
SAMEA3680236	ERX1226630	ERR1147626	3453359	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147626/ERR1147626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147626/SLX-8351.N707_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680237	ERX1226631	ERR1147627	3117181	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147627/ERR1147627.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147627/SLX-8351.N707_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680238	ERX1226632	ERR1147628	4160369	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147628/ERR1147628.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147628/SLX-8351.N707_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680239	ERX1226633	ERR1147629	3986723	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147629/ERR1147629.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147629/SLX-8351.N707_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680240	ERX1226634	ERR1147630	3401258	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147630/ERR1147630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147630/SLX-8351.N707_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680241	ERX1226635	ERR1147631	3623664	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147631/ERR1147631.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147631/SLX-8351.N707_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680242	ERX1226636	ERR1147632	3250714	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147632/ERR1147632.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147632/SLX-8351.N708_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680243	ERX1226637	ERR1147633	4809353	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147633/ERR1147633.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147633/SLX-8351.N708_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680244	ERX1226638	ERR1147634	3768412	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147634/ERR1147634.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147634/SLX-8351.N708_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680245	ERX1226639	ERR1147635	3423585	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147635/ERR1147635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147635/SLX-8351.N708_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680246	ERX1226640	ERR1147636	3209769	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147636/ERR1147636.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147636/SLX-8351.N708_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680247	ERX1226641	ERR1147637	2805725	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147637/ERR1147637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147637/SLX-8351.N708_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680248	ERX1226642	ERR1147638	3484770	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147638/ERR1147638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147638/SLX-8351.N708_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680249	ERX1226643	ERR1147639	3756890	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147639/ERR1147639.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147639/SLX-8351.N708_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680250	ERX1226644	ERR1147640	5077097	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147640/ERR1147640.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147640/SLX-8351.N709_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680251	ERX1226645	ERR1147641	4390330	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147641/ERR1147641.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147641/SLX-8351.N709_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680252	ERX1226646	ERR1147642	2870599	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147642/ERR1147642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147642/SLX-8351.N709_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680253	ERX1226647	ERR1147643	3036038	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147643/ERR1147643.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147643/SLX-8351.N709_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680254	ERX1226648	ERR1147644	3686639	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147644/ERR1147644.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147644/SLX-8351.N709_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680255	ERX1226649	ERR1147645	4113744	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147645/ERR1147645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147645/SLX-8351.N709_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680256	ERX1226650	ERR1147646	3767024	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147646/ERR1147646.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147646/SLX-8351.N709_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680257	ERX1226651	ERR1147647	4296610	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147647/ERR1147647.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147647/SLX-8351.N709_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680258	ERX1226652	ERR1147648	1932768	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147648/ERR1147648.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147648/SLX-8351.N710_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680259	ERX1226653	ERR1147649	2651816	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147649/ERR1147649.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147649/SLX-8351.N710_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680260	ERX1226654	ERR1147650	1298268	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147650/ERR1147650.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147650/SLX-8351.N710_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680261	ERX1226655	ERR1147651	1641354	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147651/ERR1147651.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147651/SLX-8351.N710_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680262	ERX1226656	ERR1147652	3531580	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147652/ERR1147652.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147652/SLX-8351.N710_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680263	ERX1226657	ERR1147653	2154588	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147653/ERR1147653.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147653/SLX-8351.N711_N502.C677MANXX.s_1.r_1.fq.gz
SAMEA3680264	ERX1226658	ERR1147654	4179028	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147654/ERR1147654.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147654/SLX-8351.N711_N503.C677MANXX.s_1.r_1.fq.gz
SAMEA3680265	ERX1226659	ERR1147655	2884897	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147655/ERR1147655.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147655/SLX-8351.N711_N504.C677MANXX.s_1.r_1.fq.gz
SAMEA3680266	ERX1226660	ERR1147656	2178904	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147656/ERR1147656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147656/SLX-8351.N711_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680267	ERX1226661	ERR1147657	1594325	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147657/ERR1147657.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147657/SLX-8351.N711_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680268	ERX1226662	ERR1147658	1716533	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147658/ERR1147658.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147658/SLX-8351.N712_N505.C677MANXX.s_1.r_1.fq.gz
SAMEA3680269	ERX1226663	ERR1147659	2885591	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147659/ERR1147659.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147659/SLX-8351.N712_N506.C677MANXX.s_1.r_1.fq.gz
SAMEA3680270	ERX1226664	ERR1147660	2249359	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147660/ERR1147660.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147660/SLX-8351.N712_N507.C677MANXX.s_1.r_1.fq.gz
SAMEA3680271	ERX1226665	ERR1147661	1827104	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147661/ERR1147661.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147661/SLX-8351.N712_N508.C677MANXX.s_1.r_1.fq.gz
SAMEA3680272	ERX1226666	ERR1147662	2594514	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147662/ERR1147662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147662/SLX-8351.N712_N517.C677MANXX.s_1.r_1.fq.gz
SAMEA3680273	ERX1226667	ERR1147663	2955109	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147663/ERR1147663.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147663/SLX-8352.N701_N502.C677MANXX.s_2.r_1.fq.gz
SAMEA3680274	ERX1226668	ERR1147664	3764791	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147664/ERR1147664.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147664/SLX-8352.N701_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680275	ERX1226669	ERR1147665	2782486	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147665/ERR1147665.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147665/SLX-8352.N701_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680276	ERX1226670	ERR1147666	2595039	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147666/ERR1147666.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147666/SLX-8352.N701_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680277	ERX1226671	ERR1147667	2937618	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147667/ERR1147667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147667/SLX-8352.N701_N506.C677MANXX.s_2.r_1.fq.gz
SAMEA3680278	ERX1226672	ERR1147668	1321140	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147668/ERR1147668.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147668/SLX-8352.N701_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680279	ERX1226673	ERR1147669	3583937	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147669/ERR1147669.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147669/SLX-8352.N701_N517.C677MANXX.s_2.r_1.fq.gz
SAMEA3680280	ERX1226674	ERR1147670	3429859	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147670/ERR1147670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147670/SLX-8352.N702_N502.C677MANXX.s_2.r_1.fq.gz
SAMEA3680281	ERX1226675	ERR1147671	2425287	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147671/ERR1147671.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147671/SLX-8352.N702_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680282	ERX1226676	ERR1147672	1913058	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147672/ERR1147672.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147672/SLX-8352.N702_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680283	ERX1226677	ERR1147673	2732169	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147673/ERR1147673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147673/SLX-8352.N702_N506.C677MANXX.s_2.r_1.fq.gz
SAMEA3680284	ERX1226678	ERR1147674	2751508	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147674/ERR1147674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147674/SLX-8352.N702_N507.C677MANXX.s_2.r_1.fq.gz
SAMEA3680285	ERX1226679	ERR1147675	1065865	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147675/ERR1147675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147675/SLX-8352.N702_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680286	ERX1226680	ERR1147676	2035808	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147676/ERR1147676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147676/SLX-8352.N702_N517.C677MANXX.s_2.r_1.fq.gz
SAMEA3680287	ERX1226681	ERR1147677	3409365	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147677/ERR1147677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147677/SLX-8352.N703_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680288	ERX1226682	ERR1147678	2587583	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147678/ERR1147678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147678/SLX-8352.N703_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680289	ERX1226683	ERR1147679	2873093	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147679/ERR1147679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147679/SLX-8352.N703_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680290	ERX1226684	ERR1147680	3834564	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147680/ERR1147680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147680/SLX-8352.N703_N507.C677MANXX.s_2.r_1.fq.gz
SAMEA3680291	ERX1226685	ERR1147681	2159828	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147681/ERR1147681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147681/SLX-8352.N703_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680292	ERX1226686	ERR1147682	2998882	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147682/ERR1147682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147682/SLX-8352.N703_N517.C677MANXX.s_2.r_1.fq.gz
SAMEA3680293	ERX1226687	ERR1147683	3422776	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147683/ERR1147683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147683/SLX-8352.N704_N502.C677MANXX.s_2.r_1.fq.gz
SAMEA3680294	ERX1226688	ERR1147684	3610441	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147684/ERR1147684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147684/SLX-8352.N704_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680295	ERX1226689	ERR1147685	3104878	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147685/ERR1147685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147685/SLX-8352.N704_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680296	ERX1226690	ERR1147686	2267129	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147686/ERR1147686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147686/SLX-8352.N704_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680297	ERX1226691	ERR1147687	3009637	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147687/ERR1147687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147687/SLX-8352.N704_N506.C677MANXX.s_2.r_1.fq.gz
SAMEA3680298	ERX1226692	ERR1147688	2887594	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147688/ERR1147688.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147688/SLX-8352.N704_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680299	ERX1226693	ERR1147689	2642038	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147689/ERR1147689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147689/SLX-8352.N705_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680300	ERX1226694	ERR1147690	3048582	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147690/ERR1147690.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147690/SLX-8352.N705_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680301	ERX1226695	ERR1147691	2883898	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147691/ERR1147691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147691/SLX-8352.N705_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680302	ERX1226696	ERR1147692	2910023	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147692/ERR1147692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147692/SLX-8352.N705_N506.C677MANXX.s_2.r_1.fq.gz
SAMEA3680303	ERX1226697	ERR1147693	3420265	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147693/ERR1147693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147693/SLX-8352.N705_N507.C677MANXX.s_2.r_1.fq.gz
SAMEA3680304	ERX1226698	ERR1147694	12491471	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1147694/ERR1147694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147694/SLX-8352.N705_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680305	ERX1226699	ERR1147695	3221054	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1147695/ERR1147695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147695/SLX-8352.N705_N517.C677MANXX.s_2.r_1.fq.gz
SAMEA3680306	ERX1226700	ERR1147696	2620682	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1147696/ERR1147696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147696/SLX-8352.N706_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680307	ERX1226701	ERR1147697	2923703	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1147697/ERR1147697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147697/SLX-8352.N706_N504.C677MANXX.s_2.r_1.fq.gz
SAMEA3680308	ERX1226702	ERR1147698	2927643	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1147698/ERR1147698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147698/SLX-8352.N706_N505.C677MANXX.s_2.r_1.fq.gz
SAMEA3680309	ERX1226703	ERR1147699	3319680	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1147699/ERR1147699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147699/SLX-8352.N706_N506.C677MANXX.s_2.r_1.fq.gz
SAMEA3680310	ERX1226704	ERR1147700	2775419	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1147700/ERR1147700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147700/SLX-8352.N706_N507.C677MANXX.s_2.r_1.fq.gz
SAMEA3680311	ERX1226705	ERR1147701	1307356	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1147701/ERR1147701.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147701/SLX-8352.N706_N508.C677MANXX.s_2.r_1.fq.gz
SAMEA3680312	ERX1226706	ERR1147702	2909071	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1147702/ERR1147702.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147702/SLX-8352.N707_N503.C677MANXX.s_2.r_1.fq.gz
SAMEA3680313	ERX1226707	ERR1147703	2674489	10090	Mus musculus	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1147703/ERR1147703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR114/ERR1147703/SLX-8352.N707_N504.C677MANXX.s_2.r_1.fq.gz
